date,open_price_usd,total_volume_usd,market_cap_usd
2026-01-09,0.00000610,780635923.25,2565577919.44
2026-01-10,0.00000612,669782430.98,2573342438.08
2026-01-11,0.00000595,294157682.99,2502505456.23
2026-01-12,0.00000579,345084873.25,2434072362.36
2026-01-13,0.00000574,560871832.49,2414582710.99
2026-01-14,0.00000650,918676500.74,2733430444.09
2026-01-15,0.00000625,1147637541.84,2627420680.16
2026-01-16,0.00000591,626310755.39,2486398728.11
2026-01-17,0.00000592,415454149.52,2490873916.87
2026-01-18,0.00000579,260475591.19,2437307029.92
2026-01-19,0.00000548,342895566.64,2310622545.51
2026-01-20,0.00000528,623552571.54,2219970600.78
2026-01-21,0.00000499,480795314.81,2102211332.75
2026-01-22,0.00000514,670243536.11,2162322840.02
2026-01-23,0.00000494,400776559.58,2079203029.63
2026-01-24,0.00000502,423828374.52,2111787215.58
2026-01-25,0.00000500,210244581.54,2102167899.95
2026-01-26,0.00000471,421397153.93,1984304287.07
2026-01-27,0.00000501,362230281.61,2107680247.90
2026-01-28,0.00000502,416815219.13,2113368812.06
2026-01-29,0.00000498,341877987.94,2097207574.60
2026-01-30,0.00000473,443123907.47,1988043219.15
2026-01-31,0.00000462,523677227.10,1945354473.04
2026-02-01,0.00000414,592527567.16,1741096873.58
2026-02-02,0.00000417,452259830.14,1759900171.94
2026-02-03,0.00000425,513821443.73,1790361282.54
2026-02-04,0.00000412,503202863.71,1734597576.76
2026-02-05,0.00000422,526020081.14,1773945106.32
2026-02-06,0.00000342,761237478.38,1438425307.49
2026-02-07,0.00000392,809977178.83,1651132042.37
2026-02-08,0.00000386,455421316.32,1623903763.00
2026-02-09,0.00000378,281288627.99,1588594546.39
2026-02-10,0.00000382,342241388.19,1606814989.23
2026-02-11,0.00000365,277442015.02,1535686845.06
2026-02-12,0.00000356,294950829.80,1497192912.98
2026-02-13,0.00000372,306160199.25,1564620310.07
2026-02-14,0.00000379,280924231.26,1596184128.50
2026-02-15,0.00000484,905253860.32,2028035736.68
2026-02-16,0.00000444,904238499.32,1867405185.89
2026-02-17,0.00000448,521706783.41,1886574475.47
2026-02-18,0.00000439,370989767.13,1848535742.95
2026-02-19,0.00000423,327325656.20,1777358030.11
2026-02-20,0.00000423,248442555.68,1779357253.95
2026-02-21,0.00000426,342508362.29,1788754020.76
2026-02-22,0.00000415,227430563.97,1747679997.73
2026-02-23,0.00000403,178477489.51,1694810878.98
2026-02-24,0.00000396,360138231.41,1667809928.43
2026-02-25,0.00000395,282896733.74,1661022134.45
2026-02-26,0.00000411,576676045.38,1724200739.71
2026-02-27,0.00000383,502376252.78,1609288825.79
2026-02-28,0.00000368,380660871.41,1546263513.73
2026-03-01,0.00000366,361703128.32,1539689024.44
2026-03-02,0.00000345,383925214.63,1451624476.21
2026-03-03,0.00000352,421737246.19,1479388490.07
2026-03-04,0.00000346,395608749.01,1457706179.87
2026-03-05,0.00000366,561546974.07,1538734058.20
2026-03-06,0.00000347,375533088.05,1461795537.28
2026-03-07,0.00000339,335837773.75,1426196356.55
2026-03-08,0.00000325,211962039.86,1365970872.21
2026-03-09,0.00000318,249627079.08,1339017218.87
2026-03-10,0.00000326,322543890.77,1371081808.10
2026-03-11,0.00000330,411686730.99,1388165087.55
2026-03-12,0.00000334,277560677.41,1403090083.69
2026-03-13,0.00000336,302668542.87,1412471601.40
2026-03-14,0.00000336,519066277.04,1415610857.37
2026-03-15,0.00000336,199124554.83,1412121889.91
2026-03-16,0.00000344,237619617.04,1447289250.28
2026-03-17,0.00000402,1074277316.12,1691419195.56
2026-03-18,0.00000366,575885053.25,1542426814.75
2026-03-19,0.00000352,454628318.52,1480209344.29
2026-03-20,0.00000341,320911327.23,1431931815.92
2026-03-21,0.00000342,236330743.98,1437526941.16
2026-03-22,0.00000336,146297345.12,1413052557.44
2026-03-23,0.00000328,261342279.11,1382641736.34
2026-03-24,0.00000345,433363390.27,1447459625.94
2026-03-25,0.00000353,283331968.92,1484000536.00
2026-03-26,0.00000353,296609873.59,1484201519.39
2026-03-27,0.00000341,235152638.57,1436100781.63
2026-03-28,0.00000328,263732764.75,1378374044.50
2026-03-29,0.00000328,176728320.78,1381567089.52
2026-03-30,0.00000327,181364363.28,1374755758.03
2026-03-31,0.00000331,232532512.25,1393053816.46
